filename,rouge1_f1,rouge2_f1,rougeL_f1,sim_text_mean,sim_text_median,sim_text_std,sim_sum_mean,sim_sum_median,sim_sum_std,length_mean,length_ratio,sum_ratio,god_metric
bart-b15-lp0.6.json,0.623,0.430,0.533,0.912,0.940,0.096,0.826,0.862,0.125,29.310,0.644,1.160,0.708
bart-b15-lp1.5.json,0.637,0.443,0.548,0.945,0.968,0.058,0.837,0.860,0.120,34.571,0.741,1.351,0.719
bart-b15-lp1.json,0.629,0.435,0.543,0.935,0.962,0.064,0.832,0.860,0.117,32.833,0.708,1.287,0.715
bart-b15-lp2.json,0.643,0.447,0.551,0.949,0.968,0.057,0.843,0.860,0.117,35.762,0.762,1.393,0.722
bart-b15-lp4.json,0.633,0.438,0.536,0.947,0.967,0.055,0.841,0.857,0.116,36.357,0.780,1.422,0.714
bart-b2-lp0.6.json,0.595,0.400,0.500,0.910,0.935,0.079,0.821,0.843,0.118,31.310,0.676,1.233,0.686
bart-b3-lp0.6.json,0.608,0.410,0.519,0.916,0.940,0.080,0.821,0.848,0.126,31.167,0.677,1.222,0.696
bart-b4-lp0.6.json,0.629,0.436,0.543,0.917,0.943,0.080,0.835,0.857,0.116,31.333,0.676,1.223,0.711
bart-b5-lp0.6.json,0.623,0.423,0.531,0.919,0.941,0.077,0.828,0.848,0.118,30.286,0.652,1.168,0.702
bart-b6-lp0.6.json,0.624,0.433,0.537,0.912,0.937,0.082,0.825,0.848,0.117,29.476,0.643,1.155,0.704
bart-b7-lp0.6.json,0.628,0.434,0.539,0.917,0.939,0.082,0.826,0.855,0.120,30.000,0.655,1.174,0.708
bart-ita-b15-lp1.5.json,0.637,0.446,0.552,0.950,0.968,0.059,0.843,0.864,0.113,36.571,0.762,1.393,0.722
bart-ita-b15-lp1.json,0.638,0.445,0.559,0.940,0.966,0.065,0.842,0.864,0.112,35.071,0.739,1.349,0.723
bart-ita-b15-lp2.5.json,0.639,0.447,0.553,0.954,0.971,0.055,0.846,0.866,0.111,37.976,0.784,1.438,0.724
bart-ita-b15-lp2.json,0.638,0.444,0.553,0.956,0.975,0.055,0.847,0.868,0.111,37.548,0.776,1.419,0.724
bart-ita-b15-lp3.5.json,0.630,0.443,0.546,0.942,0.967,0.083,0.846,0.871,0.107,38.762,0.821,1.490,0.721
bart-ita-b15-lp3.json,0.637,0.445,0.546,0.952,0.967,0.054,0.845,0.866,0.110,38.262,0.797,1.451,0.721
bart-ita-b30-lp4.json,0.606,0.425,0.517,0.946,0.965,0.051,0.833,0.848,0.110,39.738,0.851,1.566,0.702
bart-ita-b30-lp5.json,0.605,0.424,0.516,0.946,0.964,0.050,0.833,0.848,0.110,39.810,0.854,1.571,0.701
bart-ita-b30-lp6.json,0.604,0.423,0.517,0.946,0.964,0.051,0.832,0.846,0.111,39.881,0.855,1.574,0.700
bart-sm-b1-lp0.4.json,0.553,0.389,0.478,0.916,0.956,0.147,0.811,0.843,0.162,49.357,1.118,1.964,0.677
bart-sm-b1-lp0.6.json,0.553,0.389,0.478,0.916,0.956,0.147,0.811,0.843,0.162,49.357,1.118,1.964,0.677
bart-sm-b1-lp0.8.json,0.553,0.389,0.478,0.916,0.956,0.147,0.811,0.843,0.162,49.357,1.118,1.964,0.677
bart-sm-b1-lp1.2.json,0.553,0.389,0.478,0.916,0.956,0.147,0.811,0.843,0.162,49.357,1.118,1.964,0.677
bart-sm-b1-lp1.5.json,0.553,0.389,0.478,0.916,0.956,0.147,0.811,0.843,0.162,49.357,1.118,1.964,0.677
bart-sm-b1-lp1.json,0.553,0.389,0.478,0.916,0.956,0.147,0.811,0.843,0.162,49.357,1.118,1.964,0.677
bart-sm-b1-lp2.json,0.553,0.389,0.478,0.916,0.956,0.147,0.811,0.843,0.162,49.357,1.118,1.964,0.677
bart-sm-b11-lp0.4.json,0.641,0.464,0.570,0.930,0.962,0.067,0.846,0.864,0.108,34.405,0.729,1.367,0.727
bart-sm-b11-lp0.6.json,0.645,0.469,0.571,0.937,0.967,0.067,0.846,0.864,0.105,36.952,0.770,1.459,0.730
bart-sm-b11-lp0.8.json,0.646,0.471,0.575,0.951,0.970,0.060,0.849,0.867,0.102,41.167,0.815,1.553,0.733
bart-sm-b11-lp1.2.json,0.645,0.469,0.569,0.959,0.975,0.052,0.852,0.869,0.105,41.952,0.837,1.584,0.732
bart-sm-b11-lp1.5.json,0.647,0.470,0.570,0.961,0.975,0.047,0.852,0.869,0.106,42.357,0.843,1.595,0.733
bart-sm-b11-lp1.json,0.645,0.469,0.569,0.961,0.978,0.052,0.855,0.869,0.103,41.833,0.833,1.579,0.733
bart-sm-b11-lp2.json,0.633,0.457,0.555,0.965,0.971,0.040,0.851,0.857,0.103,44.214,0.890,1.673,0.722
bart-sm-b15-lp0.6.json,0.646,0.466,0.566,0.933,0.967,0.071,0.845,0.856,0.103,34.500,0.741,1.382,0.726
bart-sm-b15-lp1.5.json,0.647,0.469,0.568,0.965,0.978,0.048,0.856,0.867,0.104,42.333,0.845,1.602,0.733
bart-sm-b15-lp1.json,0.644,0.467,0.566,0.962,0.978,0.052,0.855,0.867,0.103,41.405,0.835,1.586,0.731
